"tweet_id","topic_id","probability","assigned_at"
"1346375827219476481","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1346377088216027136","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1346379547562958853","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346386175200796674","50","0.0","2026-05-04T10:24:25.877157+00:00"
"1346393216535425024","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1346398964250255361","110","0.0","2026-05-04T10:24:25.877157+00:00"
"1346406091329064960","157","0.0","2026-05-04T10:24:25.877157+00:00"
"1346408097410068480","178","0.0","2026-05-04T10:24:25.877157+00:00"
"1346408270068666369","150","0.0","2026-05-04T10:24:25.877157+00:00"
"1346414644374728710","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346418104767815680","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346418383391248385","25","0.0","2026-05-04T10:24:25.877157+00:00"
"1346421426413297667","168","0.0","2026-05-04T10:24:25.877157+00:00"
"1346421429516976129","7","0.0","2026-05-04T10:24:25.877157+00:00"
"1346429068468695041","83","0.0","2026-05-04T10:24:25.877157+00:00"
"1346437566405476355","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346456391196827649","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1346458412834553856","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1346459077950517248","130","0.0","2026-05-04T10:24:25.877157+00:00"
"1346459639412645889","25","0.0","2026-05-04T10:24:25.877157+00:00"
"1346459956187439105","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346460503296585733","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346462407661674496","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1346462923099664386","0","0.0","2026-05-04T10:24:25.877157+00:00"
"1346464991029776388","138","0.0","2026-05-04T10:24:25.877157+00:00"
"1346470384988667905","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1346472163079909376","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1346487366031126528","79","0.0","2026-05-04T10:24:25.877157+00:00"
"1346489756969029633","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1346495783772811270","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1346502180015120385","72","0.0","2026-05-04T10:24:25.877157+00:00"
"1346514305437609986","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1346517357871685634","44","0.0","2026-05-04T10:24:25.877157+00:00"
"1346518279490330624","210","0.0","2026-05-04T10:24:25.877157+00:00"
"1346521880451293193","143","0.0","2026-05-04T10:24:25.877157+00:00"
"1346523220921503751","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1346523903217250304","130","0.0","2026-05-04T10:24:25.877157+00:00"
"1346524262497193984","139","0.0","2026-05-04T10:24:25.877157+00:00"
"1346524495960535042","99","0.0","2026-05-04T10:24:25.877157+00:00"
"1346525567185793024","142","0.0","2026-05-04T10:24:25.877157+00:00"
"1346534955946561538","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1346538220742434817","21","0.0","2026-05-04T10:24:25.877157+00:00"
"1346673202668429313","86","0.0","2026-05-04T10:24:25.877157+00:00"
"1346680495971721216","96","0.0","2026-05-04T10:24:25.877157+00:00"
"1346680918967283712","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1346681537417404423","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1346681890216976384","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1346688068254896128","126","0.0","2026-05-04T10:24:25.877157+00:00"
"1346688747115569155","203","0.0","2026-05-04T10:24:25.877157+00:00"
"1346690522304442368","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1346691053391384578","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346702588939481088","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1346705263651397633","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346708924507037696","110","0.0","2026-05-04T10:24:25.877157+00:00"
"1346710684843864066","8","0.0","2026-05-04T10:24:25.877157+00:00"
"1346713438450561024","40","0.0","2026-05-04T10:24:25.877157+00:00"
"1346715702439399424","0","0.0","2026-05-04T10:24:25.877157+00:00"
"1346727587687649280","8","0.0","2026-05-04T10:24:25.877157+00:00"
"1346728022628564992","15","0.0","2026-05-04T10:24:25.877157+00:00"
"1346728353232007170","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1346728827922350081","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1346735020300500994","160","0.0","2026-05-04T10:24:25.877157+00:00"
